created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status,,,,
2020-02-16 14:10:13 CST,215,4,7,"7



",,,,,,,,
2020-02-16 14:10:31 CST,216,5,7,"7



",,,,,,,,
2020-02-16 14:10:46 CST,217,5,8,"8



",,,,,,,,
2020-02-16 14:11:05 CST,218,6,8,"8



",,,,,,,,
2020-02-16 14:11:21 CST,219,6,8,"8



",,,,,,,,
2020-02-16 14:11:39 CST,220,5,9,"11



",,,,,,,,
2020-02-16 14:11:55 CST,221,5,9,"10



",,,,,,,,
2020-02-16 14:12:11 CST,222,5,8,"8



",,,,,,,,
2020-02-16 14:12:27 CST,223,9,15,"16



",,,,,,,,
2020-02-16 14:12:43 CST,224,5,9,"9



",,,,,,,,
2020-02-16 14:12:58 CST,225,6,9,"9



",,,,,,,,
2020-02-16 14:13:14 CST,226,6,8,"8



",,,,,,,,
2020-02-16 14:13:29 CST,227,5,8,"9



",,,,,,,,
2020-02-16 14:13:45 CST,228,6,8,"9



",,,,,,,,
2020-02-16 14:14:02 CST,229,5,9,"9



",,,,,,,,
2020-02-16 14:14:18 CST,230,6,8,"9



",,,,,,,,
2020-02-16 14:14:33 CST,231,6,8,"9



",,,,,,,,
2020-02-16 14:14:49 CST,232,7,9,"9



",,,,,,,,
2020-02-16 14:15:05 CST,233,5,7,"9



",,,,,,,,
2020-02-16 14:15:20 CST,234,6,8,"10



",,,,,,,,
2020-02-16 14:15:37 CST,235,6,12,"12



",,,,,,,,
2020-02-16 14:15:52 CST,236,7,14,"15



",,,,,,,,
2020-02-16 14:16:09 CST,237,5,7,"7



",,,,,,,,
2020-02-16 14:16:24 CST,238,8,10,"10



",,,,,,,,
2020-02-16 14:16:40 CST,239,8,10,"10



",,,,,,,,
2020-02-16 14:16:56 CST,240,7,10,"10



",,,,,,,,
